Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE8632	RNA binding activity of the recessive parkinsonism protein DJ-1	Expression profiling by array	Homo sapiens;Mus musculus	4	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE8nnn/GSE8632/suppl	18626009	NA	J Raphael Gibbs	Mar 14, 2008
GSE15316	Differential expression of rituximab responders vs. non responders on 3 different blood cell types	Expression profiling by array	Homo sapiens	23	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15316/suppl	19842941	NA	Toni Julià	Oct 02, 2009
GSE5422	Knock-down of three core transcription factors in hEC cells	Expression profiling by array	Homo sapiens	4	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE5nnn/GSE5422/suppl	17506876	NA	Boris Greber	Jun 01, 2007
GSE17241	Genome-wide analysis of SATB1 target genes in human T helper cells	Expression profiling by array	Homo sapiens	66	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17241/suppl	20522714	NA	Helena Ahlfors	Jan 07, 2010
GSE18445	Genome-wide transcriptional profiling of NF1-haploinsufficiency in human: ECACC kindred	Expression profiling by array	Homo sapiens	6	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18445/suppl	20307317	NA	Alexander Pemov	Nov 30, 2009
GSE10905	Profiling BRCA1, BRCA2 and non-BRCA1/2 LCLs post-Irradiation	Expression profiling by array	Homo sapiens	79	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE10nnn/GSE10905/suppl	18497862	NA	Nic Waddell	Mar 21, 2008
GSE7902	Novel cell lines from mouse epiblast share defining features with human embryonic stem cells	Expression profiling by array	Homo sapiens;Mus musculus	12	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE7nnn/GSE7902/suppl	17597760	NA	Paul Tesar	Jun 27, 2007
GSE11061	Colony Stimulating Factor 1 (CSF-1) responses in human monocyte derived macrophages	Expression profiling by array	Homo sapiens	6	GDS3686	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11061/suppl	19004987	NA	Katharine Irvine	Nov 14, 2008
GSE12870	Regulation of leukemic cell differentiation and retinoid-induced gene expression by statins	Expression profiling by array	Homo sapiens	36	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12870/suppl	19240159	NA	Raffaele A Calogero	Jan 20, 2009
GSE40878	Expression of the placental transcriptome in fetal growth restriction in the Baboon is Dependent on Fetal Sex	Expression profiling by array	Homo sapiens;Papio hamadryas	12	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40878/suppl	24047701	NA	Laura L Cox	Dec 06, 2013
GSE6536	Whole-genome gene expression variation in 210 unrelated HapMap individuals	Expression profiling by array	Homo sapiens	480	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE6nnn/GSE6536/suppl	17289997;17873874	NA	Emmanouil T Dermitzakis	Feb 09, 2007
GSE6818	Cell response to Au nanoparticles	Expression profiling by array	Homo sapiens	39	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE6nnn/GSE6818/suppl	NA	NA	Lianghao Ding	Jan 20, 2008
GSE6645	Comparison of gene expression in human embyronic  stem cells grown in MEF-CM or defined media conditions	Expression profiling by array	Homo sapiens	4	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE6nnn/GSE6645/suppl	17761519	NA	Tom Schulz	Jun 24, 2007
GSE27276	Genome-wide Expression of Trabecular Meshwork in POAG	Expression profiling by array	Homo sapiens	36	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27276/suppl	24003086	NA	Yutao Liu	Aug 31, 2013
GSE8686	Gene expression profiling in three primary human cell lines treated with atorvastatin or an inhibitor of Rho kinase	Expression profiling by array	Homo sapiens	36	GDS2987	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE8nnn/GSE8686/suppl	18832915	NA	Marjan Boerma	Aug 23, 2007
GSE15468	Application of blood transcriptomics to identify three novel biomarkers for monitoring anti-TGFbeta therapy	Expression profiling by array	Homo sapiens	22	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15468/suppl	20084050	NA	Joachim Schultze	Jul 20, 2010
GSE15390	FOXP3-mediated inhibition of the global gene regulator SATB1 is required for maintaining regulatory T cell commitment	Expression profiling by array	Homo sapiens	68	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15390/suppl	21841785	NA	Joachim Schultze	Aug 14, 2011
GSE6634	Genes Directly Regulated by the Oncogene ZNF217 Using ChIP-chip Assays on ENCODE and Promoter Arrays and Expression Data	Expression profiling by array;Genome binding/occupancy profiling by genome tiling array	Homo sapiens	43	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE6nnn/GSE6634/suppl	17259635	NA	Victor X Jin	Jan 25, 2007
