Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE88744	"Recapitulation of pharmacogenomic data reveals that invalidation of SULF2 enhance sorafenib susceptibility in liver cancer"	"Expression profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88744/suppl"	29720727		"Hyun Goo Woo"	"May 15, 2018"
GSE106321	"SOX-2 mediated upregulation of CD24 promotes adaptive resistance towards targeted therapy in melanoma"	"Expression profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106321/suppl"			"Jochen Utikal"	"May 15, 2018"
GSE113469	"Identification of peculiar gene expression profile in peripheral blood mononuclear cells (PBMC) of celiac patients on gluten free diet"	"Expression profiling by array"	"Homo sapiens"	37		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113469/suppl"			"Marica Cariello"	"May 14, 2018"
GSE101448	"Microarray gene-expression data to identify a robust biomarker signature in PDAC and validate it in formalin-fixed paraffin-embedded tissue material."	"Expression profiling by array"	"Homo sapiens"	43		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101448/suppl"	29675033		"Hauke Busch"	"May 11, 2018"
GSE101462	"Microarray gene-expression data to validate a 17-gene biomarker obtained from excessive meta-analysis to test its PDAC specificity in the presence of pancreatitis tissues."	"Expression profiling by array"	"Homo sapiens"	20		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101462/suppl"	29675033		"Hauke Busch"	"May 11, 2018"
GSE97594	"Genome-wide analysis of gene expression in Panc-1 and BxPC-3 cells subjected to iExosomes treatment and control treatments"	"Expression profiling by array"	"Homo sapiens"	21		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97594/suppl"	29669940		"Valerie LeBleu"	"May 09, 2018"
GSE104237	"Microarray analysis of adipocyte co-culture with SKOv3ip1 cells"	"Expression profiling by array"	"Homo sapiens"	4		"IDAT;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE104nnn/GSE104237/suppl"	29398710		"Andras Ladanyi"	"May 09, 2018"
GSE114059	"Small molecule inhibition of MEK activates Wnt signalling and leads to reprogramming of colon cancer stem cells [Illumina]"	"Expression profiling by array"	"Homo sapiens"	24		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114059/suppl"			"Tianzuo Zhan"	"May 08, 2018"
GSE114061	"Small molecule inhibition of MEK activates Wnt signalling and leads to reprogramming of colon cancer stem cells"	"Expression profiling by array"	"Homo sapiens"	28		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114061/suppl"			"Tianzuo Zhan"	"May 08, 2018"
GSE109030	"Genome-wide transcriptome analysis in PBMCs of HIES patient A.II.1 compared to healthy sibling A.II.5"	"Expression profiling by array"	"Homo sapiens"	2		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109030/suppl"			"Bodo Grimbacher"	"May 04, 2018"
GSE69039	"Differences in metabolic biomarkers in the blood and gene expression profiles of peripheral blood mononuclear cells among normal weight, mildly obese, and moderately obese subjects"	"Expression profiling by array"	"Homo sapiens"	18		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69039/suppl"			"Un Ju Jung"	"May 01, 2018"
